status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
95475020353_10159457622980354,0,0,0,0,0,0,0,0,10,0,1,0,50.392857142857146,1.0,0.0
95475020353_10159457322550354,0,0,0,0,0,0,0,1,8,0,1,0,50.3,2.0,0.0
95475020353_10159457132040354,0,0,0,0,1,0,0,0,8,0,1,0,50.38461538461539,1.0,1.0
95475020353_10159457097155354,0,0,0,0,1,0,0,1,9,0,1,0,50.294117647058826,1.0,0.0
95475020353_10159456993180354,0,0,0,0,0,0,0,0,8,0,1,0,50.375,1.0,2.0
95475020353_10159456992650354,0,0,0,0,1,0,0,0,8,0,1,0,50.3125,0.0,2.0
95475020353_10159456870620354,0,0,0,0,0,0,0,1,6,0,0,0,50.3125,0.0,0.0
95475020353_10159456816170354,0,0,0,0,1,0,0,1,9,0,0,0,50.3125,0.0,0.0
95475020353_10159456664285354,0,0,0,0,0,0,0,0,9,0,2,0,50.458333333333336,0.0,0.0
95475020353_10159456410270354,0,0,0,0,0,0,0,0,7,0,0,0,50.291666666666664,0.0,0.0
95475020353_10159456405410354,0,0,0,0,0,0,0,0,6,0,2,0,50.44444444444444,0.0,0.0
95475020353_10159456366620354,0,0,0,0,1,0,0,0,5,0,1,0,50.31818181818182,0.0,1.0
95475020353_10159456349685354,0,0,0,0,0,0,0,2,8,0,1,0,50.28125,0.0,1.0
95475020353_10159456268205354,0,0,0,1,1,0,0,0,7,1,0,0,50.27272727272727,0.0,0.0
95475020353_10159456209525354,0,0,0,0,0,0,0,2,4,0,2,0,50.2,0.0,1.0
95475020353_10159456155810354,0,0,0,1,0,0,0,1,1,0,0,0,49.875,0.0,0.0
95475020353_10159456136530354,0,0,0,0,0,0,0,0,7,0,1,0,50.44444444444444,0.0,0.0
95475020353_10159455939995354,0,0,0,0,0,0,0,0,6,0,2,0,50.44444444444444,0.0,0.0
95475020353_10159455841060354,0,0,0,0,1,0,0,0,5,0,2,0,50.36363636363637,0.0,0.0
95475020353_10159455821830354,0,0,0,0,1,0,0,1,7,0,1,0,50.333333333333336,0.0,1.0
95475020353_10159455709040354,0,0,0,0,2,0,0,1,6,0,2,0,50.3,0.0,0.0
95475020353_10159455696195354,0,0,0,0,2,0,0,1,12,0,2,0,50.38095238095238,1.0,1.0
95475020353_10159455636750354,0,0,0,0,1,0,0,0,7,0,0,0,50.36363636363637,2.0,0.0
95475020353_10159455621005354,0,0,0,0,0,0,0,0,13,0,0,0,50.325,0.0,0.0
95475020353_10159455614465354,0,0,0,1,1,0,0,1,4,0,1,0,50.2,1.0,0.0
95475020353_10159455544975354,0,0,0,0,1,0,0,0,13,0,1,0,50.44444444444444,0.0,0.0
95475020353_10159455464245354,0,0,0,0,2,1,0,0,5,0,2,0,50.375,0.0,2.0
95475020353_10159455364135354,0,0,0,1,0,0,0,1,9,0,1,0,50.21052631578947,0.0,2.0
95475020353_10159455219100354,0,0,0,0,0,0,0,2,8,0,2,0,50.22727272727273,0.0,2.0
95475020353_10159454693965354,0,0,0,0,0,0,0,2,4,0,0,0,50.1875,0.0,0.0
95475020353_10159454003610354,0,0,0,0,0,0,0,0,7,0,2,0,50.375,1.0,1.0
95475020353_10159453999575354,0,0,0,1,0,0,0,1,14,0,1,0,50.30952380952381,0.0,1.0
95475020353_10159453963720354,0,0,0,0,1,0,0,0,8,0,2,0,50.42307692307692,0.0,0.0
95475020353_10159453857215354,0,0,0,0,1,0,0,0,13,0,1,0,50.375,0.0,0.0
95475020353_10159453852300354,0,0,0,0,2,0,0,1,6,0,0,0,50.32142857142857,0.0,0.0
95475020353_10159453836625354,0,0,0,0,0,0,0,0,13,0,1,0,50.34090909090909,1.0,0.0
95475020353_10159453770155354,0,0,0,0,2,0,0,1,10,1,1,0,50.275,0.0,0.0
95475020353_10159453598225354,0,0,0,0,0,0,0,1,9,0,1,0,50.28125,0.0,1.0
95475020353_10159453247100354,0,0,0,0,0,0,0,1,7,0,2,0,50.34615384615385,0.0,0.0
95475020353_10159453073795354,0,1,0,0,0,0,0,2,5,0,1,0,50.2,1.0,0.0
95475020353_10159453054145354,0,0,0,0,0,0,0,0,9,0,1,0,50.416666666666664,1.0,0.0
95475020353_10159452877065354,0,0,0,0,0,0,0,0,10,0,2,0,50.3,0.0,1.0
95475020353_10159452696845354,0,0,0,0,0,0,0,2,9,0,2,0,50.32142857142857,0.0,1.0
95475020353_10159452501415354,0,0,0,0,0,0,0,1,10,0,1,0,50.30555555555556,1.0,0.0
95475020353_10159452501190354,0,0,0,0,0,0,0,0,10,0,0,0,50.45454545454545,1.0,0.0
