status_id,lexical_richness,lexical_density,avg_word_length,flesch_reading_ease,length_of_line,compound_sentiment,positive_sentiment,negative_sentiment,num_hyperbolic_words,avg_sentence_length,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
5550296508_10157032802441509,1.0,0.8,7.4,10.56,83,0.5106,0.268,0.0,0,83.0,0,0,0,0,1,0,0,2,5,0,2,0,50.25,1.0,0.0
5550296508_10157032696736509,1.0,0.8888888888888888,5.666666666666667,45.42,59,0.0,0.0,0.0,0,59.0,0,0,0,0,2,0,0,1,4,0,2,0,50.35,0.0,0.0
5550296508_10157032519466509,1.0,0.875,4.875,71.82,46,0.4939,0.314,0.0,0,46.0,0,0,0,0,0,0,0,2,5,0,0,0,50.166666666666664,1.0,0.0
5550296508_10157032432271509,1.0,0.8571428571428571,6.142857142857143,22.07,49,0.0,0.0,0.0,0,49.0,0,0,0,0,2,0,0,1,3,0,0,0,50.25,0.0,0.0
5550296508_10157032241646509,1.0,0.7777777777777778,5.777777777777778,70.8,60,0.0,0.0,0.0,0,60.0,0,0,0,0,2,0,0,0,4,0,1,0,50.4,0.0,0.0
5550296508_10157032085276509,1.0,0.8333333333333334,6.666666666666667,73.85,45,0.0,0.0,0.0,0,45.0,0,0,0,0,0,0,0,1,5,0,1,0,50.25,0.0,0.0
5550296508_10157031729061509,1.0,0.8333333333333334,5.416666666666667,42.38,76,-0.743,0.0,0.387,0,76.0,0,0,0,0,3,0,0,2,5,0,1,0,50.26923076923077,0.0,2.0
5550296508_10157031692216509,1.0,0.8888888888888888,7.111111111111111,28.5,72,-0.3182,0.0,0.223,0,72.0,0,0,0,0,2,0,0,1,6,0,1,0,50.30769230769231,0.0,1.0
5550296508_10157031609466509,1.0,0.6666666666666666,7.222222222222222,28.5,73,0.0,0.0,0.0,0,73.0,0,0,0,0,0,0,0,2,5,0,2,0,50.25,0.0,0.0
5550296508_10157031539981509,1.0,0.8571428571428571,5.571428571428571,72.83,45,-0.4588,0.0,0.333,0,45.0,0,0,0,0,0,0,0,1,5,0,1,0,50.3125,0.0,1.0
5550296508_10157031400451509,1.0,0.7272727272727273,5.181818181818182,85.69,67,0.0,0.0,0.0,0,67.0,0,0,0,0,2,0,0,3,4,1,1,0,50.1,0.0,0.0
5550296508_10157031347261509,1.0,0.8888888888888888,6.111111111111111,53.88,63,0.0,0.0,0.0,0,63.0,0,0,0,0,1,0,0,0,8,0,1,0,50.38461538461539,0.0,0.0
5550296508_10157031286901509,1.0,0.625,5.75,37.98,53,-0.3818,0.0,0.271,0,53.0,0,0,0,0,1,0,0,0,4,0,1,0,50.388888888888886,0.0,1.0
5550296508_10157031218016509,0.9,0.7,4.9,78.25,58,0.4019,0.278,0.0,0,28.5,0,0,0,0,1,0,0,2,4,0,1,0,50.25,1.0,0.0
5550296508_10157031163181509,1.0,0.8571428571428571,4.571428571428571,115.13,38,-0.6486,0.0,0.417,0,38.0,0,0,0,0,1,0,0,1,3,0,2,0,50.3125,0.0,1.0
