status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
5550296508_10157032802441509,0,0,0,0,1,0,0,2,5,0,2,0,50.25,1.0,0.0
5550296508_10157032696736509,0,0,0,0,2,0,0,1,4,0,2,0,50.35,0.0,0.0
5550296508_10157032519466509,0,0,0,0,0,0,0,2,5,0,0,0,50.166666666666664,1.0,0.0
5550296508_10157032432271509,0,0,0,0,2,0,0,1,3,0,0,0,50.25,0.0,0.0
5550296508_10157032241646509,0,0,0,0,2,0,0,0,4,0,1,0,50.4,0.0,0.0
5550296508_10157032085276509,0,0,0,0,0,0,0,1,5,0,1,0,50.25,0.0,0.0
5550296508_10157031729061509,0,0,0,0,3,0,0,2,5,0,1,0,50.26923076923077,0.0,2.0
5550296508_10157031692216509,0,0,0,0,2,0,0,1,6,0,1,0,50.30769230769231,0.0,1.0
5550296508_10157031609466509,0,0,0,0,0,0,0,2,5,0,2,0,50.25,0.0,0.0
5550296508_10157031539981509,0,0,0,0,0,0,0,1,5,0,1,0,50.3125,0.0,1.0
5550296508_10157031400451509,0,0,0,0,2,0,0,3,4,1,1,0,50.1,0.0,0.0
5550296508_10157031347261509,0,0,0,0,1,0,0,0,8,0,1,0,50.38461538461539,0.0,0.0
5550296508_10157031286901509,0,0,0,0,1,0,0,0,4,0,1,0,50.388888888888886,0.0,1.0
5550296508_10157031218016509,0,0,0,0,1,0,0,2,4,0,1,0,50.25,1.0,0.0
5550296508_10157031163181509,0,0,0,0,1,0,0,1,3,0,2,0,50.3125,0.0,1.0
5550296508_10157031052131509,0,0,0,0,1,0,0,1,4,0,1,0,50.333333333333336,0.0,0.0
5550296508_10157030752216509,0,0,0,1,0,0,0,2,5,0,3,0,50.19230769230769,0.0,0.0
5550296508_10157030697406509,0,0,0,0,0,0,0,3,5,0,2,0,50.15384615384615,1.0,2.0
5550296508_10157030641226509,0,0,0,0,2,0,0,1,5,0,2,0,50.36363636363637,0.0,1.0
5550296508_10157030583106509,0,0,0,0,0,0,0,3,4,1,1,0,50.107142857142854,0.0,0.0
5550296508_10157030522651509,0,0,0,0,1,0,0,1,7,0,2,0,50.375,0.0,0.0
5550296508_10157030448656509,0,0,0,0,0,0,0,2,5,0,0,0,50.13636363636363,0.0,1.0
5550296508_10157030230956509,0,0,0,1,0,0,0,1,5,0,1,0,50.18181818181818,0.0,0.0
5550296508_10157030210101509,0,0,0,0,1,0,0,3,5,0,1,0,50.166666666666664,0.0,0.0
5550296508_10157030127591509,0,0,0,0,1,0,0,1,4,0,0,0,50.291666666666664,0.0,0.0
5550296508_10157030062696509,0,0,0,0,1,0,0,4,3,0,0,0,50.0,1.0,0.0
5550296508_10157029974751509,0,0,0,2,0,0,0,3,4,0,0,0,49.958333333333336,0.0,0.0
5550296508_10157029876346509,0,0,0,0,2,0,0,1,4,0,0,0,50.27777777777778,2.0,0.0
5550296508_10157029799296509,0,0,0,1,1,0,0,0,6,0,0,0,50.25,1.0,1.0
5550296508_10157029569001509,0,0,0,0,0,0,0,2,4,0,0,0,50.125,0.0,1.0
5550296508_10157029445836509,0,0,0,0,0,0,0,2,2,0,1,0,50.07142857142857,0.0,1.0
5550296508_10157029352806509,0,0,0,0,0,0,0,3,5,1,2,0,50.107142857142854,0.0,0.0
5550296508_10157029234651509,0,0,0,1,0,0,0,4,5,1,1,0,50.0,0.0,0.0
5550296508_10157029027856509,0,0,0,0,2,0,0,2,4,0,2,0,50.26923076923077,0.0,0.0
