status_id,lexical_richness,lexical_density,avg_word_length,flesch_reading_ease,length_of_line,compound_sentiment,positive_sentiment,negative_sentiment,num_hyperbolic_words,avg_sentence_length,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10155646889381336,1.0,0.8,6.3,35.95,72,-0.4767,0.0,0.256,0,72.0,0,0,0,0,1,0,0,0,7,0,1,0,50.375,0.0,1.0
15704546335_10155646239131336,1.0,0.9166666666666666,6.083333333333333,50.84,84,-0.4404,0.135,0.252,0,41.5,0,0,0,0,0,0,0,0,11,0,1,0,50.35294117647059,1.0,1.0
15704546335_10155646232866336,1.0,0.9,6.4,35.95,73,-0.2263,0.175,0.241,0,73.0,0,0,0,1,0,0,0,1,6,0,1,0,50.22727272727273,1.0,1.0
15704546335_10155644653616336,1.0,1.0,9.0,-20.23,69,-0.4588,0.0,0.333,0,69.0,0,0,0,0,1,0,0,1,6,0,0,0,50.25,0.0,1.0
15704546335_10155646187986336,1.0,1.0,7.111111111111111,20.04,72,0.0258,0.121,0.0,0,72.0,0,0,0,0,1,0,0,0,8,0,0,0,50.45,1.0,0.0
15704546335_10155646039671336,0.9230769230769231,0.7692307692307693,5.230769230769231,66.74,80,0.2023,0.196,0.149,0,80.0,0,0,0,0,0,0,0,0,10,0,3,0,50.464285714285715,1.0,1.0
15704546335_10155646006576336,1.0,1.0,6.1,35.95,70,0.0,0.0,0.0,0,70.0,0,0,0,0,0,0,0,2,8,0,0,0,50.23076923076923,0.0,0.0
15704546335_10155645566886336,1.0,0.8,5.5,69.79,64,0.0,0.0,0.0,0,64.0,0,0,0,0,1,0,0,0,7,0,2,0,50.45454545454545,0.0,0.0
15704546335_10155645427391336,1.0,0.8571428571428571,6.285714285714286,47.45,50,0.5106,0.355,0.0,0,50.0,0,0,0,0,0,0,0,1,5,0,0,0,50.25,1.0,0.0
15704546335_10155644968406336,1.0,0.7692307692307693,5.230769230769231,83.66,80,0.0,0.0,0.0,0,80.0,0,0,0,2,1,0,0,1,7,0,2,0,50.19444444444444,0.0,0.0
15704546335_10155644571576336,1.0,0.9090909090909091,5.545454545454546,60.31,71,0.4939,0.242,0.0,0,71.0,0,0,0,0,1,0,0,1,7,0,0,0,50.233333333333334,1.0,0.0
15704546335_10155644648281336,1.0,0.9166666666666666,7.416666666666667,42.38,100,0.0,0.0,0.0,0,100.0,0,0,0,1,1,0,0,1,9,0,0,0,50.285714285714285,0.0,0.0
15704546335_10155644575756336,1.0,0.7777777777777778,5.0,87.72,53,0.0,0.0,0.0,0,53.0,0,0,0,0,0,0,0,0,7,0,2,0,50.45,0.0,0.0
15704546335_10155641409996336,1.0,1.0,8.0,48.47,53,0.0,0.0,0.0,0,53.0,0,0,0,0,0,0,0,0,5,0,0,0,50.208333333333336,0.0,0.0
15704546335_10155641245146336,0.8571428571428571,0.7142857142857143,3.7857142857142856,108.03,66,-0.1027,0.0,0.097,0,66.0,0,0,0,1,0,0,0,1,9,0,1,0,50.21052631578947,0.0,1.0
15704546335_10155641110906336,1.0,0.8888888888888888,6.0,28.5,62,-0.4588,0.0,0.273,0,62.0,0,0,0,0,0,0,0,0,9,0,1,0,50.357142857142854,0.0,1.0
15704546335_10155641043416336,0.8461538461538461,0.7692307692307693,4.076923076923077,100.58,65,-0.5574,0.08,0.241,0,65.0,0,0,0,0,0,0,0,3,6,0,1,0,50.138888888888886,1.0,1.0
15704546335_10155641928431336,0.9090909090909091,0.8181818181818182,4.2727272727272725,102.61,57,-0.4767,0.0,0.279,0,57.0,0,0,0,1,1,0,0,3,6,0,0,0,50.14705882352941,0.0,1.0
15704546335_10155641926341336,1.0,1.0,6.0,87.72,62,0.0,0.0,0.0,0,62.0,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155641018731336,1.0,0.8333333333333334,4.75,84.68,68,-0.3818,0.18,0.287,0,68.0,0,0,0,0,1,0,0,1,6,0,2,0,50.266666666666666,1.0,1.0
15704546335_10155640305536336,1.0,0.875,5.375,71.82,50,-0.5574,0.0,0.34,0,50.0,0,0,0,0,0,0,0,1,6,0,1,0,50.291666666666664,0.0,1.0
15704546335_10155642718631336,1.0,0.9090909090909091,5.454545454545454,68.77,70,0.0,0.0,0.0,0,70.0,0,0,0,1,1,0,0,1,7,0,1,0,50.26923076923077,0.0,0.0
15704546335_10155641102891336,1.0,0.9230769230769231,6.6923076923076925,24.44,99,-0.5106,0.0,0.216,0,99.0,0,0,0,0,1,0,0,2,9,0,0,0,50.285714285714285,0.0,1.0
15704546335_10155641366686336,1.0,0.8571428571428571,5.714285714285714,55.91,46,0.0,0.0,0.0,0,46.0,0,0,0,0,1,0,0,0,4,0,2,0,50.4375,0.0,0.0
15704546335_10155642122681336,1.0,0.9,7.2,44.41,81,-0.4767,0.089,0.26,0,81.0,0,0,0,0,0,0,0,0,8,0,0,0,50.333333333333336,1.0,1.0
15704546335_10155641359636336,0.9411764705882353,0.7058823529411765,4.235294117647059,89.08,88,-0.6908,0.0,0.266,0,88.0,0,0,0,0,0,0,0,1,9,1,2,0,50.23913043478261,1.0,1.0
15704546335_10155641284936336,1.0,0.8571428571428571,7.285714285714286,38.99,57,0.0,0.0,0.0,0,57.0,0,0,0,0,1,0,0,1,4,0,0,0,50.25,0.0,0.0
15704546335_10155640900206336,1.0,0.8181818181818182,5.7272727272727275,60.31,73,0.3182,0.204,0.0,0,73.0,0,0,0,0,1,0,0,2,4,0,1,0,50.166666666666664,1.0,0.0
15704546335_10155640342921336,1.0,0.7,5.5,61.33,64,0.0,0.0,0.0,0,64.0,0,0,0,0,1,0,0,1,5,0,3,0,50.36363636363637,0.0,0.0
15704546335_10155640250481336,1.0,0.75,5.416666666666667,90.77,76,0.0,0.0,0.0,0,76.0,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155637459956336,1.0,1.0,5.25,97.2,49,0.0,0.0,0.0,0,49.0,0,0,0,1,0,0,0,0,7,0,0,0,50.3,0.0,0.0
15704546335_10155637582811336,1.0,0.6,5.4,61.33,63,0.1779,0.175,0.0,0,63.0,0,0,0,0,0,0,0,2,4,1,1,0,50.13636363636363,1.0,0.0
15704546335_10155637471671336,0.9090909090909091,0.8181818181818182,5.7272727272727275,68.77,73,0.4019,0.213,0.0,0,73.0,0,0,0,0,0,0,0,3,5,0,0,0,50.07142857142857,1.0,0.0
15704546335_10155637116281336,1.0,0.8333333333333334,5.833333333333333,67.76,81,-0.9042,0.0,0.604,0,81.0,0,0,0,0,1,0,0,2,5,0,1,0,50.15625,0.0,4.0
15704546335_10155637042516336,1.0,0.9333333333333333,4.466666666666667,107.01,81,0.0,0.0,0.0,0,81.0,0,0,0,0,0,0,0,1,12,0,1,0,50.30952380952381,0.0,0.0
15704546335_10155636178261336,1.0,0.8888888888888888,5.0,78.59,107,0.0,0.0,0.0,0,107.0,0,0,0,0,0,0,0,1,13,1,3,0,50.291666666666664,0.0,0.0
15704546335_10155637579516336,1.0,0.8888888888888888,5.777777777777778,70.8,60,0.0,0.0,0.0,0,60.0,0,0,0,1,1,0,0,3,3,0,0,0,50.0,0.0,0.0
15704546335_10155637031876336,1.0,0.7272727272727273,6.181818181818182,51.85,78,0.0,0.0,0.0,0,78.0,0,0,0,0,1,0,0,1,7,0,2,0,50.3125,0.0,0.0
