status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10155646889381336,0,0,0,0,1,0,0,0,7,0,1,0,50.375,0.0,1.0
15704546335_10155646239131336,0,0,0,0,0,0,0,0,11,0,1,0,50.35294117647059,1.0,1.0
15704546335_10155646232866336,0,0,0,1,0,0,0,1,6,0,1,0,50.22727272727273,1.0,1.0
15704546335_10155644653616336,0,0,0,0,1,0,0,1,6,0,0,0,50.25,0.0,1.0
15704546335_10155646187986336,0,0,0,0,1,0,0,0,8,0,0,0,50.45,1.0,0.0
15704546335_10155646039671336,0,0,0,0,0,0,0,0,10,0,3,0,50.464285714285715,1.0,1.0
15704546335_10155646006576336,0,0,0,0,0,0,0,2,8,0,0,0,50.23076923076923,0.0,0.0
15704546335_10155645566886336,0,0,0,0,1,0,0,0,7,0,2,0,50.45454545454545,0.0,0.0
15704546335_10155645427391336,0,0,0,0,0,0,0,1,5,0,0,0,50.25,1.0,0.0
15704546335_10155644968406336,0,0,0,2,1,0,0,1,7,0,2,0,50.19444444444444,0.0,0.0
15704546335_10155644571576336,0,0,0,0,1,0,0,1,7,0,0,0,50.233333333333334,1.0,0.0
15704546335_10155644648281336,0,0,0,1,1,0,0,1,9,0,0,0,50.285714285714285,0.0,0.0
15704546335_10155644575756336,0,0,0,0,0,0,0,0,7,0,2,0,50.45,0.0,0.0
15704546335_10155641409996336,0,0,0,0,0,0,0,0,5,0,0,0,50.208333333333336,0.0,0.0
15704546335_10155641245146336,0,0,0,1,0,0,0,1,9,0,1,0,50.21052631578947,0.0,1.0
15704546335_10155641110906336,0,0,0,0,0,0,0,0,9,0,1,0,50.357142857142854,0.0,1.0
15704546335_10155641043416336,0,0,0,0,0,0,0,3,6,0,1,0,50.138888888888886,1.0,1.0
15704546335_10155641928431336,0,0,0,1,1,0,0,3,6,0,0,0,50.14705882352941,0.0,1.0
15704546335_10155641926341336,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155641018731336,0,0,0,0,1,0,0,1,6,0,2,0,50.266666666666666,1.0,1.0
15704546335_10155640305536336,0,0,0,0,0,0,0,1,6,0,1,0,50.291666666666664,0.0,1.0
15704546335_10155642718631336,0,0,0,1,1,0,0,1,7,0,1,0,50.26923076923077,0.0,0.0
15704546335_10155641102891336,0,0,0,0,1,0,0,2,9,0,0,0,50.285714285714285,0.0,1.0
15704546335_10155641366686336,0,0,0,0,1,0,0,0,4,0,2,0,50.4375,0.0,0.0
15704546335_10155642122681336,0,0,0,0,0,0,0,0,8,0,0,0,50.333333333333336,1.0,1.0
15704546335_10155641359636336,0,0,0,0,0,0,0,1,9,1,2,0,50.23913043478261,1.0,1.0
15704546335_10155641284936336,0,0,0,0,1,0,0,1,4,0,0,0,50.25,0.0,0.0
15704546335_10155640900206336,0,0,0,0,1,0,0,2,4,0,1,0,50.166666666666664,1.0,0.0
15704546335_10155640342921336,0,0,0,0,1,0,0,1,5,0,3,0,50.36363636363637,0.0,0.0
15704546335_10155640250481336,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155637459956336,0,0,0,1,0,0,0,0,7,0,0,0,50.3,0.0,0.0
15704546335_10155637582811336,0,0,0,0,0,0,0,2,4,1,1,0,50.13636363636363,1.0,0.0
15704546335_10155637471671336,0,0,0,0,0,0,0,3,5,0,0,0,50.07142857142857,1.0,0.0
15704546335_10155637116281336,0,0,0,0,1,0,0,2,5,0,1,0,50.15625,0.0,4.0
15704546335_10155637042516336,0,0,0,0,0,0,0,1,12,0,1,0,50.30952380952381,0.0,0.0
15704546335_10155636178261336,0,0,0,0,0,0,0,1,13,1,3,0,50.291666666666664,0.0,0.0
15704546335_10155637579516336,0,0,0,1,1,0,0,3,3,0,0,0,50.0,0.0,0.0
15704546335_10155637031876336,0,0,0,0,1,0,0,1,7,0,2,0,50.3125,0.0,0.0
15704546335_10155637892136336,0,0,0,0,0,0,0,2,6,2,0,0,50.05555555555556,0.0,3.0
15704546335_10155636935991336,0,0,0,0,1,0,0,0,6,0,0,0,50.31818181818182,0.0,0.0
15704546335_10155636200646336,0,0,0,0,3,0,0,0,8,0,1,0,50.38235294117647,0.0,0.0
15704546335_10155636933551336,1,0,0,0,0,0,0,0,8,0,1,0,50.45,0.0,0.0
15704546335_10155637264431336,0,0,0,0,1,0,0,1,4,0,2,0,50.333333333333336,0.0,1.0
15704546335_10155636142976336,0,0,0,1,0,0,0,3,9,0,1,0,50.166666666666664,0.0,0.0
15704546335_10155635888081336,0,0,0,0,0,0,0,2,9,0,2,0,50.214285714285715,0.0,0.0
15704546335_10155633366631336,0,0,0,0,0,0,0,0,6,0,1,0,50.4375,0.0,0.0
15704546335_10155631853626336,0,0,0,1,0,0,0,2,5,0,1,0,50.15,0.0,0.0
15704546335_10155633336871336,0,0,0,0,0,0,0,1,12,0,1,0,50.35294117647059,0.0,0.0
15704546335_10155633356631336,0,0,0,0,0,0,0,0,8,0,2,0,50.38461538461539,1.0,1.0
