status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
155869377766434_1899445690075452,0,0,0,3,0,0,0,3,4,0,0,0,49.92307692307692,0.0,0.0
155869377766434_1899374883415866,0,0,0,1,1,0,0,3,3,1,0,0,49.95454545454545,0.0,0.0
155869377766434_1899353760084645,0,0,0,0,0,0,0,1,6,0,2,0,50.233333333333334,0.0,2.0
155869377766434_1899322780087743,0,0,0,0,1,0,0,2,6,0,2,0,50.285714285714285,1.0,2.0
155869377766434_1899290166757671,0,0,0,0,0,0,0,3,1,2,4,0,50.0,0.0,0.0
155869377766434_1899224933430861,0,0,0,0,1,0,0,2,6,0,0,0,50.214285714285715,0.0,0.0
155869377766434_1899195756767112,0,0,0,1,1,0,0,3,6,0,2,0,50.166666666666664,0.0,0.0
155869377766434_1899143230105698,0,0,0,0,1,0,0,4,4,0,1,0,50.083333333333336,0.0,3.0
155869377766434_1899076210112400,0,0,0,0,0,0,0,2,5,1,0,0,50.09090909090909,0.0,0.0
155869377766434_1899050706781617,0,0,0,0,2,0,0,2,3,1,1,0,50.142857142857146,0.0,0.0
155869377766434_1899012036785484,0,0,0,0,2,0,0,1,6,0,3,0,50.38461538461539,0.0,3.0
155869377766434_1898884990131522,0,0,0,0,2,0,0,1,3,0,0,0,50.25,1.0,0.0
155869377766434_1898843343469020,0,0,0,0,0,0,0,1,5,0,1,0,50.3125,0.0,1.0
155869377766434_1898810053472349,0,0,0,1,0,0,0,2,4,0,0,0,50.04545454545455,0.0,1.0
155869377766434_1898775233475831,0,0,0,1,1,0,0,1,6,0,1,0,50.233333333333334,0.0,1.0
155869377766434_1898696216817066,0,0,0,1,1,0,0,4,6,2,1,0,50.026315789473685,0.0,0.0
155869377766434_1898605106826177,0,0,0,0,2,0,0,3,1,1,0,0,49.95,1.0,1.0
155869377766434_1898558126830875,0,0,0,0,1,0,0,1,5,0,2,0,50.31818181818182,0.0,1.0
155869377766434_1898513623501992,0,0,0,0,2,0,0,1,5,0,0,0,50.27272727272727,0.0,0.0
155869377766434_1898462676840420,0,0,0,0,1,0,0,1,6,0,3,0,50.34615384615385,1.0,2.0
