status_id,lexical_richness,lexical_density,avg_word_length,flesch_reading_ease,length_of_line,compound_sentiment,positive_sentiment,negative_sentiment,num_hyperbolic_words,avg_sentence_length,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
10643211755_10155841909906756,0.9,1.0,6.6,44.41,75,0.5719,0.291,0.0,0,75.0,0,0,0,0,0,0,0,0,8,0,2,0,50.38461538461539,1.0,0.0
10643211755_10155841540786756,1.0,1.0,5.9,52.87,68,0.0,0.0,0.0,0,68.0,0,0,0,0,0,0,0,0,8,0,2,0,50.333333333333336,0.0,0.0
10643211755_10155841600316756,1.0,1.0,4.2727272727272725,102.61,57,0.0,0.0,0.0,0,57.0,0,1,0,1,0,0,0,2,6,0,0,0,50.15384615384615,0.0,0.0
10643211755_10155841632851756,1.0,1.0,6.4,66.4,73,0.0,0.0,0.0,0,73.0,0,0,0,0,0,0,0,1,8,0,2,0,50.3,0.0,0.0
10643211755_10155841502366756,1.0,1.0,5.538461538461538,66.74,84,-0.296,0.0,0.155,0,84.0,0,0,0,0,0,0,0,3,10,0,1,0,50.22222222222222,0.0,1.0
10643211755_10155841482241756,0.9411764705882353,1.0,4.176470588235294,107.99,87,0.0,0.0,0.0,0,43.0,0,0,0,0,0,0,0,2,10,1,1,0,50.23684210526316,0.0,0.0
10643211755_10155841410241756,1.0,1.0,6.857142857142857,13.61,54,-0.34,0.0,0.286,0,54.0,0,0,0,0,1,0,0,0,4,0,2,0,50.4375,0.0,1.0
10643211755_10155841312731756,1.0,1.0,5.916666666666667,50.84,82,0.0516,0.178,0.164,0,82.0,0,0,0,0,0,0,0,0,11,0,0,0,50.46153846153846,1.0,1.0
10643211755_10155841271671756,1.0,1.0,5.111111111111111,92.29,54,0.2263,0.192,0.0,0,26.5,0,0,0,1,0,0,0,2,4,1,0,0,50.0,1.0,0.0
10643211755_10155840924551756,1.0,1.0,7.555555555555555,20.04,76,0.0,0.0,0.0,0,76.0,0,0,0,0,1,0,0,0,6,0,1,0,50.333333333333336,0.0,0.0
10643211755_10155840915226756,1.0,1.0,6.1,35.95,70,0.0,0.0,0.0,0,70.0,0,0,0,0,2,0,0,0,7,0,1,0,50.45454545454545,0.0,0.0
10643211755_10155841057016756,0.9166666666666666,1.0,5.25,99.23,74,0.4019,0.197,0.0,0,36.5,0,0,0,0,0,0,0,1,10,0,0,0,50.32142857142857,1.0,0.0
10643211755_10155840592611756,1.0,1.0,5.222222222222222,53.88,55,0.0,0.208,0.208,0,55.0,0,0,0,1,0,0,0,1,5,0,1,0,50.2,1.0,1.0
