status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
10643211755_10155841909906756,0,0,0,0,0,0,0,0,8,0,2,0,50.38461538461539,1.0,0.0
10643211755_10155841540786756,0,0,0,0,0,0,0,0,8,0,2,0,50.333333333333336,0.0,0.0
10643211755_10155841600316756,0,1,0,1,0,0,0,2,6,0,0,0,50.15384615384615,0.0,0.0
10643211755_10155841632851756,0,0,0,0,0,0,0,1,8,0,2,0,50.3,0.0,0.0
10643211755_10155841502366756,0,0,0,0,0,0,0,3,10,0,1,0,50.22222222222222,0.0,1.0
10643211755_10155841482241756,0,0,0,0,0,0,0,2,10,1,1,0,50.23684210526316,0.0,0.0
10643211755_10155841410241756,0,0,0,0,1,0,0,0,4,0,2,0,50.4375,0.0,1.0
10643211755_10155841312731756,0,0,0,0,0,0,0,0,11,0,0,0,50.46153846153846,1.0,1.0
10643211755_10155841271671756,0,0,0,1,0,0,0,2,4,1,0,0,50.0,1.0,0.0
10643211755_10155840924551756,0,0,0,0,1,0,0,0,6,0,1,0,50.333333333333336,0.0,0.0
10643211755_10155840915226756,0,0,0,0,2,0,0,0,7,0,1,0,50.45454545454545,0.0,0.0
10643211755_10155841057016756,0,0,0,0,0,0,0,1,10,0,0,0,50.32142857142857,1.0,0.0
10643211755_10155840592611756,0,0,0,1,0,0,0,1,5,0,1,0,50.2,1.0,1.0
10643211755_10155840605821756,0,0,0,0,0,0,0,3,7,0,1,0,50.19230769230769,1.0,0.0
10643211755_10155840044571756,0,0,0,0,1,0,0,1,4,0,0,0,50.27777777777778,0.0,0.0
10643211755_10155840680916756,0,0,0,1,0,0,0,0,7,0,1,0,50.26923076923077,0.0,0.0
10643211755_10155840656716756,0,0,0,0,1,0,0,1,7,0,0,0,50.31818181818182,0.0,0.0
10643211755_10155839965436756,0,0,0,0,0,0,0,0,8,0,0,0,50.32142857142857,0.0,0.0
10643211755_10155837656331756,0,0,0,0,1,0,0,1,6,0,1,0,50.291666666666664,0.0,0.0
10643211755_10155839209801756,0,0,0,0,1,0,0,0,4,0,1,0,50.375,0.0,2.0
10643211755_10155839323376756,0,0,0,0,0,0,0,2,7,0,1,0,50.25,0.0,4.0
10643211755_10155839392316756,0,0,0,0,2,1,0,0,4,0,2,0,50.4,0.0,2.0
10643211755_10155837649121756,0,0,0,0,0,0,0,0,9,0,2,0,50.36666666666667,0.0,0.0
10643211755_10155836750711756,0,0,0,0,1,0,0,1,8,0,1,0,50.3,0.0,2.0
10643211755_10155837710536756,0,0,0,0,0,0,0,2,2,0,1,0,50.125,0.0,0.0
10643211755_10155837717256756,0,0,0,0,1,0,0,1,9,0,2,0,50.30952380952381,0.0,0.0
10643211755_10155838404756756,0,0,0,0,0,0,0,1,11,1,0,0,50.25,0.0,0.0
10643211755_10155837645771756,0,0,0,0,0,0,0,0,8,0,1,0,50.40909090909091,0.0,0.0
10643211755_10155836723766756,0,0,0,0,0,0,0,1,7,0,1,0,50.291666666666664,0.0,0.0
10643211755_10155837643551756,0,0,0,0,1,0,0,0,5,0,0,0,50.375,0.0,0.0
