status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
8304333127_10156325695778128,0,0,0,0,1,0,0,0,7,0,1,0,50.375,0.0,0.0
8304333127_10156325576628128,0,0,0,0,1,0,0,1,4,0,1,0,50.3125,0.0,0.0
8304333127_10156325520068128,0,0,0,0,0,0,0,1,5,1,1,0,50.25,1.0,0.0
8304333127_10156325455623128,0,0,0,0,0,0,0,0,3,0,0,0,50.3,0.0,0.0
8304333127_10156325352168128,0,0,0,0,2,0,0,0,8,0,1,0,50.42307692307692,0.0,0.0
8304333127_10156325300283128,0,0,0,0,0,0,0,0,6,0,3,0,50.34615384615385,1.0,0.0
8304333127_10156325235783128,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,1.0
8304333127_10156325229513128,0,0,0,0,0,0,0,0,9,0,2,0,50.458333333333336,0.0,0.0
8304333127_10156325185643128,0,0,0,1,1,0,0,1,5,0,0,0,50.22222222222222,0.0,1.0
8304333127_10156325175003128,0,0,0,0,0,0,0,1,2,0,0,0,50.2,0.0,0.0
8304333127_10156325115988128,0,0,0,1,0,0,0,0,7,0,3,0,50.375,0.0,0.0
8304333127_10156325046063128,0,0,0,0,1,0,0,2,7,0,2,0,50.32142857142857,1.0,0.0
8304333127_10156325018298128,0,0,0,1,0,0,0,2,4,0,0,0,50.13636363636363,0.0,0.0
8304333127_10156324987783128,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
8304333127_10156324906628128,0,0,0,0,2,0,0,0,4,0,0,0,50.42857142857143,0.0,0.0
8304333127_10156324809048128,0,0,0,0,0,0,0,0,2,0,0,0,50.214285714285715,0.0,0.0
8304333127_10156324808768128,0,0,0,0,0,0,0,0,8,0,2,0,50.45454545454545,0.0,2.0
8304333127_10156324717078128,0,0,0,0,2,0,0,1,5,0,0,0,50.35,0.0,0.0
8304333127_10156324698243128,0,0,0,0,0,0,0,0,4,0,0,0,50.333333333333336,0.0,0.0
8304333127_10156324656873128,0,0,0,0,0,0,0,0,6,0,0,0,50.42857142857143,1.0,0.0
8304333127_10156324643733128,0,0,0,1,0,0,0,2,7,0,2,0,50.214285714285715,0.0,0.0
8304333127_10156324604588128,0,0,0,0,0,0,0,0,7,0,0,0,50.4375,1.0,1.0
8304333127_10156324604143128,0,0,0,0,0,0,0,0,6,0,2,0,50.44444444444444,0.0,0.0
8304333127_10156324582333128,0,0,0,0,0,0,0,1,6,0,0,0,50.27777777777778,0.0,0.0
8304333127_10156324508438128,0,0,0,0,0,0,0,0,8,0,3,0,50.42307692307692,0.0,0.0
8304333127_10156324447073128,0,0,0,0,0,0,0,1,6,0,1,0,50.333333333333336,0.0,1.0
8304333127_10156324388528128,0,0,0,0,0,0,0,0,6,1,0,0,50.27777777777778,0.0,0.0
8304333127_10156324310618128,0,0,0,0,0,0,0,1,6,0,1,0,50.3,0.0,0.0
8304333127_10156324242338128,0,0,0,1,1,0,0,1,4,0,1,0,50.22222222222222,0.0,1.0
8304333127_10156324215968128,0,0,0,0,2,0,0,0,0,0,0,0,50.25,0.0,0.0
8304333127_10156324145748128,0,0,0,0,0,0,0,2,5,0,0,0,50.13636363636363,0.0,0.0
8304333127_10156324009433128,0,0,0,0,0,0,0,1,7,0,0,0,50.333333333333336,1.0,0.0
8304333127_10156323898298128,0,0,0,0,0,0,0,0,7,1,2,0,50.36363636363637,0.0,0.0
8304333127_10156323741378128,0,0,0,1,0,0,0,1,5,0,1,0,50.17857142857143,0.0,0.0
8304333127_10156323667088128,0,0,0,0,0,0,0,0,8,0,2,0,50.45454545454545,0.0,2.0
8304333127_10156323612433128,0,0,0,0,0,0,0,2,4,0,1,0,50.1875,0.0,1.0
8304333127_10156323526808128,0,0,0,0,0,0,0,0,7,0,1,0,50.4,0.0,0.0
8304333127_10156323471708128,0,0,0,1,0,0,0,1,5,0,1,0,50.22222222222222,0.0,0.0
8304333127_10156323357148128,0,0,0,2,0,0,0,1,8,0,0,0,50.166666666666664,0.0,0.0
8304333127_10156323232818128,0,0,0,0,1,0,0,1,4,0,0,0,50.25,1.0,0.0
8304333127_10156322983908128,0,0,0,0,0,0,0,0,8,0,2,0,50.45454545454545,0.0,0.0
8304333127_10156322931738128,0,0,0,1,0,0,0,0,3,0,1,0,50.25,0.0,0.0
8304333127_10156322746988128,0,0,0,0,0,0,0,0,8,0,2,0,50.357142857142854,0.0,0.0
8304333127_10156322693118128,0,0,0,0,0,0,0,0,6,0,2,0,50.4,0.0,0.0
8304333127_10156322514098128,0,0,0,0,0,0,0,1,7,0,1,0,50.26923076923077,0.0,0.0
8304333127_10156322469163128,0,0,0,0,0,0,0,2,4,0,2,0,50.2,2.0,0.0
8304333127_10156322321568128,0,0,0,0,0,0,0,0,11,0,2,0,50.464285714285715,0.0,1.0
8304333127_10156322276278128,0,0,0,0,1,0,0,0,6,0,0,0,50.388888888888886,1.0,0.0
8304333127_10156322187943128,0,0,0,0,0,0,0,0,7,0,2,0,50.40909090909091,0.0,2.0
8304333127_10156322130093128,0,0,0,0,1,0,0,0,5,1,1,0,50.333333333333336,0.0,0.0
8304333127_10156322017378128,0,0,0,0,0,0,0,0,5,0,3,0,50.44444444444444,1.0,1.0
8304333127_10156321777633128,0,0,0,2,2,0,0,1,4,0,0,0,50.15,0.0,0.0
8304333127_10156321633268128,0,0,0,0,0,0,0,1,8,0,0,0,50.291666666666664,0.0,2.0
8304333127_10156321549393128,0,0,0,0,0,0,0,1,7,0,2,0,50.30769230769231,0.0,3.0
8304333127_10156321479908128,0,0,0,0,1,0,0,2,5,0,1,0,50.22727272727273,0.0,0.0
8304333127_10156321378743128,0,0,0,0,1,0,0,0,3,0,1,0,50.416666666666664,0.0,0.0
8304333127_10156321178948128,0,0,0,0,0,0,0,0,3,0,1,0,50.3125,0.0,0.0
8304333127_10156321051578128,0,0,0,0,0,0,0,0,7,0,0,0,50.35,0.0,1.0
8304333127_10156321007943128,0,0,0,0,0,0,0,0,5,0,0,0,50.357142857142854,1.0,0.0
8304333127_10156320947058128,0,0,0,0,1,0,0,0,7,0,1,0,50.45,1.0,0.0
8304333127_10156320915348128,0,0,0,0,0,0,0,0,8,0,1,0,50.34615384615385,1.0,0.0
8304333127_10156320867983128,0,0,0,0,0,0,0,5,3,2,0,0,49.84615384615385,1.0,2.0
8304333127_10156320852093128,0,0,0,0,0,0,0,0,7,0,1,0,50.4,0.0,0.0
8304333127_10156320812843128,0,0,0,0,0,0,0,0,6,0,1,0,50.35,0.0,1.0
8304333127_10156320768758128,0,0,0,0,0,0,0,0,5,0,0,0,50.416666666666664,1.0,1.0
8304333127_10156320718993128,0,0,0,0,1,0,0,0,9,1,1,0,50.38461538461539,1.0,2.0
8304333127_10156320665948128,0,0,0,0,0,0,0,2,6,0,0,0,50.22727272727273,0.0,1.0
8304333127_10156320618093128,0,0,0,0,0,0,0,0,7,0,1,0,50.4,1.0,0.0
8304333127_10156320566978128,0,0,0,0,1,0,0,0,2,0,0,0,50.375,0.0,0.0
8304333127_10156320510523128,0,0,0,0,0,0,0,2,5,0,0,0,50.2,0.0,1.0
8304333127_10156320450873128,0,0,0,0,0,0,0,1,7,0,0,0,50.333333333333336,0.0,1.0
8304333127_10156320324768128,0,0,0,0,0,0,0,2,4,0,2,0,50.18181818181818,0.0,0.0
8304333127_10156320280078128,0,0,0,0,1,0,0,0,6,0,0,0,50.35,0.0,1.0
8304333127_10156320266373128,1,0,0,0,0,0,0,0,9,0,0,0,50.375,2.0,0.0
8304333127_10156320265283128,0,0,0,0,1,0,0,0,6,0,0,0,50.35,0.0,1.0
8304333127_10156320204988128,0,0,0,0,0,0,0,0,3,0,0,0,50.3,0.0,0.0
8304333127_10156320198908128,0,0,0,0,1,0,0,0,6,0,0,0,50.388888888888886,0.0,0.0
8304333127_10156320141208128,0,0,0,0,0,0,0,0,9,0,2,0,50.42307692307692,0.0,0.0
8304333127_10156320067863128,0,0,0,0,0,0,0,1,6,0,0,0,50.25,0.0,1.0
8304333127_10156320003078128,0,0,0,0,0,0,0,1,3,0,0,0,50.2,0.0,0.0
8304333127_10156319942188128,0,0,0,0,0,0,0,1,7,0,1,0,50.31818181818182,0.0,0.0
8304333127_10156319882593128,0,0,0,0,0,0,0,0,7,0,2,0,50.375,0.0,0.0
8304333127_10156319812278128,0,0,0,0,0,0,0,0,5,0,0,0,50.3125,0.0,0.0
8304333127_10156319739408128,0,0,0,1,0,0,0,1,3,0,0,0,50.083333333333336,1.0,0.0
8304333127_10156319660023128,0,0,0,0,1,0,0,0,12,0,2,0,50.416666666666664,0.0,2.0
8304333127_10156319589988128,0,0,0,0,2,0,0,1,5,1,0,0,50.27272727272727,1.0,1.0
8304333127_10156319496718128,0,0,0,1,0,0,0,1,7,0,1,0,50.23076923076923,1.0,0.0
8304333127_10156319441293128,0,0,0,0,0,0,0,2,3,0,0,0,50.083333333333336,1.0,1.0
8304333127_10156319383358128,0,0,0,0,0,0,0,0,5,0,0,0,50.416666666666664,0.0,1.0
8304333127_10156319279023128,0,0,0,0,0,0,0,0,8,0,0,0,50.44444444444444,1.0,0.0
8304333127_10156319214618128,0,0,0,0,0,0,0,0,9,0,2,0,50.458333333333336,0.0,0.0
8304333127_10156319159843128,0,0,0,0,0,0,0,2,9,0,1,0,50.266666666666666,2.0,1.0
8304333127_10156319076493128,0,0,0,0,0,0,0,0,7,0,1,0,50.45,0.0,0.0
8304333127_10156319021328128,0,0,0,1,0,0,0,0,8,0,0,0,50.31818181818182,0.0,0.0
8304333127_10156318957113128,0,0,0,0,2,0,0,0,0,0,0,0,50.25,0.0,0.0
8304333127_10156318816208128,0,0,0,0,0,0,0,0,4,0,1,0,50.375,0.0,0.0
8304333127_10156318761563128,0,0,0,0,0,0,0,1,7,1,0,0,50.22727272727273,0.0,0.0
8304333127_10156318706383128,0,0,0,1,0,0,0,1,4,0,0,0,50.15,0.0,1.0
8304333127_10156318589218128,0,0,0,0,0,0,0,0,8,0,2,0,50.45454545454545,1.0,1.0
8304333127_10156318515943128,0,0,0,0,1,0,0,1,6,0,1,0,50.333333333333336,1.0,1.0
8304333127_10156318449863128,0,0,0,1,0,0,0,1,5,1,0,0,50.09090909090909,1.0,0.0
8304333127_10156318387013128,0,0,0,0,0,0,0,1,4,0,1,0,50.22222222222222,0.0,0.0
8304333127_10156318336443128,0,0,0,1,0,0,0,0,8,0,0,0,50.291666666666664,1.0,0.0
